"Course Number","Course Title","Course Catalog Code","Print on Schedule (Y/N)","Section Number","Section Title","Session Code","Year","Section Status","Section Begin Date","Section End Date","Section Credit Hours","Maximum Registration"
"CSCI005GRHM","Intro Biology and Comp Science","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,55
"CSCI005L HM","Intro to Computer Science Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,60
"CSCI005L HM","Intro to Computer Science Lab","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,0,60
"CSCI005L HM","Intro to Computer Science Lab","UG12","Y","03","","FA",2012,"O",2012-09-04,2012-12-21,0,60
"CSCI005L HM","Intro to Computer Science Lab","UG12","Y","04","","FA",2012,"O",2012-09-04,2012-12-21,0,60
"CSCI042  HM","Principles & Practice: Comp Sci","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,36
"CSCI051  CM","Introduction to Computer Science","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"CSCI051  PO","Intro to Computer Science w/Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,28
"CSCI051  PO","Intro to Computer Science w/Lab","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,1,28
"CSCI051 LPO","Lab, Intro to Computer Science","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,23
"CSCI051 LPO","Lab, Intro to Computer Science","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,0,23
"CSCI051 LPO","Lab, Intro to Computer Science","UG12","Y","03","","FA",2012,"O",2012-09-04,2012-12-21,0,12
"CSCI052  PO","Fundamentals of Computer Science","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,24
"CSCI060  HM","Principles of Computer Science","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,99
"CSCI062  CM","Data Structures &Adv Programming","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,18
"CSCI070  HM","Data Structures/Prgm Development","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,25
"CSCI070  HM","Data Structures/Prgm Development","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,3,25
"CSCI081  HM","Computability and Logic","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,30
"CSCI081  PO","Computability & Logic","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,32
"CSCI105  HM","Computer Systems","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,25
"CSCI105  HM","Computer Systems","UG12","Y","02","","FA",2012,"O",2012-09-04,2012-12-21,3,25
"CSCI105  PO","Computer Systems","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"CSCI105L HM","Computer Systems Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,25
"CSCI121  HM","Software Development","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,40
"CSCI121  PO","Software Development","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,25
"CSCI121L HM","Software Development Lab","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,0,40
"CSCI131  PO","Programming Languages","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
"CSCI134  HM","Operating Systems","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,3,25
"CSCI140  PO","Algorithms","UG12","Y","01","","FA",2012,"O",2012-09-04,2012-12-21,1,20
